# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1654504423.46024,0,734.117126464844,0,6.31151294708252,0.048535767942667,-0.097284153103829,0,0.000908075890038,0.000908075890038,0.017195863649249,0.389837831258774,708.396606445313,19.4577541351318,2.49609375
1,1654504428.17493,3200,579.68994140625,0.031944442540407,-53.8774337768555,3.95883750915527,-0.097212165594101,0.000119791664474,0.00100228365045,0.001122075365856,0.017726309597492,0.436268031597138,610.245422363281,19.4603366851807,4.8115234375
2,1654504433.13123,6400,569.343200683594,0.093888886272907,2.23707032203674,0.121281236410141,-0.097222946584225,0.000352083327016,0.00103232532274,0.001384408795275,0.019357090815902,0.413873851299286,547.623413085938,19.4586906433105,4.1162109375
3,1654504438.36088,9600,518.39404296875,0,-0.371544569730759,0.023228535428643,-0.097205340862274,0,0.001008083228953,0.001008083228953,0.01795656234026,0.433897823095322,499.386657714844,19.4529247283936,4.8896484375
4,1654504443.06366,12800,477.875183105469,0,0.923230171203613,0.026482226327062,-0.097202874720097,0,0.001082250382751,0.001082250382751,0.018291933462024,0.449094742536545,457.571258544922,19.4514122009277,3.40234375
5,1654504448.82705,16000,437.950164794922,0,-1.88575267791748,0.025576302781701,-0.097198262810707,0,0.000840691616759,0.000840691616759,0.016530077904463,0.38382488489151,420.457885742188,19.4496593475342,4.8427734375
6,1654504453.08982,19200,410.974853515625,0.04333333298564,2.42725372314453,0.064082846045494,-0.097185462713242,0.000176041663508,0.001139594591223,0.001315636211075,0.021189622581005,0.427362561225891,389.1376953125,19.4429779052734,4.0693359375
7,1654504458.35611,22400,378.213623046875,0.043030302971602,-0.503804326057434,0.058922484517098,-0.097164630889893,0.000147916667629,0.000973208923824,0.001121125649661,0.018560312688351,0.399980366230011,359.308624267578,19.4470520019531,3.30859375
8,1654504463.20034,25600,351.897094726562,0,-0.10447908192873,0.022365218028426,-0.097154386341572,0,0.001028204103932,0.001028204103932,0.019287746399641,0.431839525699616,332.636871337891,19.4394931793213,4.3427734375
9,1654504468.04044,28800,332.614349365234,0.093333333730698,2.77718424797058,0.054746475070715,-0.097129240632057,0.000349999958416,0.001168892369606,0.001518892473541,0.019425360485911,0.459967195987701,310.446502685547,19.4330425262451,2.9521484375
10,1654504472.74924,32000,303.865692138672,0.009743589907885,-4.51463270187378,0.050000514835119,-0.097106955945492,3.95833340007812E-05,0.000901729334146,0.000941312639043,0.017391126602888,0.396707385778427,288.976104736328,19.4513282775879,3.93359375
11,1654504477.31672,35200,290.4326171875,0,1.30411458015442,0.017728811129928,-0.097083754837513,0,0.00093766185455,0.00093766185455,0.017188083380461,0.427370220422745,269.788269042969,19.4195957183838,1.6787109375
12,1654504481.86602,38400,276.777709960938,0.062777779996395,2.95204496383667,0.070333555340767,-0.097075074911118,0.000235416664509,0.001139419153333,0.001374835963361,0.020477121695876,0.430764377117157,254.43147277832,19.4209156036377,2.7021484375
13,1654504486.6715,41600,252.600128173828,0,-2.67290186882019,0.040344770997763,-0.09703966230154,0,0.000931581424084,0.000931581424084,0.017047010362148,0.428556948900223,235.897750854492,19.4319705963135,4.5615234375
14,1654504491.20771,44800,242.438552856445,0.012777778320015,0.272783666849136,0.031814482063055,-0.097008734941483,4.7916666517267E-05,0.001045634038746,0.001093550818041,0.018805455416441,0.432634949684143,222.797576904297,19.433385848999,3.859375
