# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,rnd_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards
0,1654516556.14997,0,170.59700012207,0,146.42024230957,23.2652645111084,-0.194449499249458,1.10593914985657,0,0.039164587855339,0.039164587855339
1,1654516599.10553,3200,-1.69819796085358,0.031510416418314,-22.1791458129883,19.6136379241943,-0.19040983915329,1.0577198266983,0.000118164069136,0.040275041013956,0.040393203496933
2,1654516632.55616,6400,28.7332286834717,0,26.3697891235352,1.50851714611053,-0.174586072564125,1.02950811386108,0,0.050160691142082,0.050160691142082
3,1654516674.22279,9600,13.2738838195801,0,9.02579402923584,3.42423915863037,-0.174159944057465,0.998011112213135,0,0.045097082853317,0.045097082853317
4,1654516715.00172,12800,7.5359992980957,0,3.78116917610168,2.90498161315918,-0.12530916929245,0.975157856941223,0,0.040326379239559,0.040326379239559
5,1654516757.22424,16000,9.58126831054688,0,6.46800756454468,2.28042364120483,-0.128298416733742,0.961136162281036,0,0.050131682306528,0.050131682306528
6,1654516793.5142,19200,9.35031890869141,0,-1.84411358833313,10.3607625961304,-0.111843094229698,0.945512473583221,0,0.057129096239805,0.057129096239805
7,1654516836.93636,22400,2.20005226135254,0,-0.334635019302368,1.67022514343262,-0.067313902080059,0.931776106357574,0,0.044191423803568,0.044191423803568
8,1654516877.79313,25600,3.01418113708496,0,0.720796585083008,1.40105438232422,-0.041746705770493,0.93407678604126,0,0.047810718417168,0.047810718417168
9,1654516916.46856,28800,2.03496408462524,0,-5.0452151298523,6.20348024368286,-0.04574815183878,0.922446966171265,0,0.038750510662794,0.038750510662794
10,1654516960.5109,32000,12.3400049209595,0,4.13490438461304,7.35824108123779,-0.070422157645226,0.917282462120056,0,0.028898641467095,0.028898641467095
11,1654517003.18603,35200,0.528011679649353,0,-0.46671724319458,0.177710622549057,-0.086191043257713,0.903209328651428,0,0.022901887074113,0.022901887074113
12,1654517047.57751,38400,1.430748462677,0,0.304663717746735,0.298662394285202,-0.064706154167652,0.892128467559814,0,0.030397016555071,0.030397016555071
13,1654517087.39142,41600,2.52193713188171,0,-0.438946038484573,2.15322685241699,-0.06239864230156,0.870054960250855,0,0.036656152456999,0.036656152456999
14,1654517126.99896,44800,13.6761627197266,0,9.14644432067871,3.79189252853394,-0.104730159044266,0.842556357383728,0,0.038818765431643,0.038818765431643
15,1654517167.21968,48000,2.84143304824829,0,1.71654832363129,0.386292189359665,-0.087847836315632,0.826440513134003,0,0.032011725008488,0.032011725008488
16,1654517207.91628,51200,3.68652248382568,0,2.07366919517517,0.87196010351181,-0.082609117031097,0.82350218296051,0,0.038525763899088,0.038525763899088
17,1654517250.69903,54400,2.70418739318848,0,-1.37207114696503,3.33668255805969,-0.087310090661049,0.826885998249054,0,0.0448291413486,0.0448291413486
18,1654517287.07231,57600,14.796799659729,0,2.41399645805359,11.6559429168701,-0.097253739833832,0.82411390542984,0,0.045711383223534,0.045711383223534
19,1654517325.10088,60800,2.68111824989319,0,0.825071573257446,1.13363599777222,-0.092350952327252,0.814761579036713,0,0.046393934637308,0.046393934637308
20,1654517362.97032,64000,0.643886029720306,0,-0.943168342113495,0.863011658191681,-0.079991407692432,0.804034113883972,0,0.036110933870077,0.036110933870077
21,1654517402.61716,67200,3.56200551986694,0,-0.574235379695892,3.40815162658691,-0.06386686116457,0.791956305503845,0,0.043636165559292,0.043636165559292
22,1654517444.54407,70400,9.40577507019043,0,-4.24096632003784,12.9418659210205,-0.073594190180302,0.778469800949097,0,0.045638170093298,0.045638170093298
23,1654517482.91725,73600,3.86309909820557,0,2.27006459236145,0.905438780784607,-0.084785677492619,0.772381663322449,0,0.039417196065188,0.039417196065188
24,1654517521.58045,76800,2.78464674949646,0,1.40572464466095,0.692041277885437,-0.079701445996761,0.766582310199737,0,0.043355189263821,0.043355189263821
25,1654517562.87944,80000,4.82767009735107,0,0.716568648815155,3.44432950019836,-0.086886040866375,0.753657698631287,0,0.044753801077604,0.044753801077604
26,1654517603.68881,83200,13.1260442733765,0,2.47905564308166,9.99934577941895,-0.093057729303837,0.740700662136078,0,0.043398160487414,0.043398160487414
27,1654517642.74573,86400,3.37835741043091,0,1.29870903491974,1.44307065010071,-0.092464834451676,0.729042410850525,0,0.04163583740592,0.04163583740592
28,1654517685.00885,89600,3.40840458869934,0,1.71867060661316,1.05643129348755,-0.083290420472622,0.716593027114868,0,0.04035833850503,0.04035833850503
