# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1653946007.40899,0,343.191009521484,0.018397437408567,0.806860089302063,0.039901182055473,-0.048639535903931,0.000448437524028,0.001241026446223,0.001689463970251,0.021045060828328,0.229375004768372,332.661376953125,9.73150062561035,3.046875
1,1653946010.02372,1600,287.275970458984,0,-9.55976009368897,0.228271618485451,-0.04860358312726,0,0.00116069172509,0.00116069172509,0.02096526697278,0.221249997615814,286.924530029297,9.73154067993164,3.296875
2,1653946013.67905,3200,266.727081298828,0,4.55777978897095,0.041785556823015,-0.048619236797094,0,0.00120232149493,0.00120232149493,0.019656116142869,0.236249998211861,252.445465087891,9.73067378997803,2.5693359375
3,1653946016.51653,4800,240.842926025391,0.014312500134111,0.095318332314491,0.043394193053246,-0.048623330891132,0.000357812503353,0.001022557495162,0.001380369998515,0.017433047294617,0.207499995827675,231.025924682617,9.72691631317139,3.5068359375
4,1653946019.03604,6400,219.489990234375,0,-0.294573396444321,0.003433279925957,-0.048622015863657,0,0.001247376902029,0.001247376902029,0.021561577916145,0.233750000596046,210.102722167969,9.72704315185547,4.33984375
5,1653946021.43097,8000,202.996459960938,0.013414634391666,0.713518500328064,0.043620746582747,-0.048620652407408,0.000343749998137,0.001148997340351,0.001492747571319,0.019128492102027,0.228750005364418,192.562530517578,9.72542572021484,3.62109375
6,1653946024.04233,9600,187.82307434082,0,-0.626166105270386,0.003428356721997,-0.048617977648974,0,0.001005128724501,0.001005128724501,0.017504954710603,0.211875006556511,178.774169921875,9.72025680541992,3.24609375
7,1653946026.68952,11200,174.054275512695,0,0.121758230030537,0.002110091969371,-0.048615500330925,0,0.001096410327591,0.001096410327591,0.020163869485259,0.227500006556511,164.253860473633,9.72516250610352,2.3037109375
8,1653946029.54689,12800,160.982040405273,0.003062500152737,0.001050093676895,0.004495390690863,-0.048614755272865,7.65625009080395E-05,0.000946164422203,0.001022726879455,0.019007913768292,0.196875005960465,151.293090820313,9.73202514648438,4.5146484375
9,1653946032.31324,14400,150.178588867188,0.005182927008718,0.423503875732422,0.007127378601581,-0.048614639788866,0.000132812507218,0.001135357422754,0.00126816984266,0.018324738368392,0.230625003576279,140.071090698242,9.72547340393066,3
10,1653946035.05959,16000,139.562606811523,0,-0.196465507149696,0.00225781952031,-0.048614654690027,0,0.001011122367345,0.001011122367345,0.018951421603561,0.221249997615814,130.079483032227,9.72595024108887,1.08984375
11,1653946037.714,17600,132.151016235352,0.006437500007451,0.547800421714783,0.012280630879104,-0.048610776662827,0.000160937488545,0.001131057390012,0.001291994936764,0.017775908112526,0.241249993443489,121.911026000977,9.72852325439453,2.96484375
12,1653946040.6785,19200,123.788261413574,0,-0.316485971212387,0.003246319014579,-0.04861318692565,0,0.001114473794587,0.001114473794587,0.019347591325641,0.246875002980232,114.428436279297,9.72168159484863,2.171875
13,1653946043.16386,20800,115.890884399414,0,-0.168164223432541,0.002268904820085,-0.048610400408506,0,0.001006384263746,0.001006384263746,0.018782192841172,0.219999998807907,106.378410339355,9.72698211669922,4.93359375
14,1653946046.04641,22400,110.056434631348,0.009250000119209,0.360826730728149,0.007484429050237,-0.048610467463732,0.00023125000007,0.001024741213769,0.001255991170183,0.016080535948277,0.236874997615814,100.022003173828,9.71472835540772,3.0458984375
15,1653946048.30296,24000,104.217636108398,0.019062500447035,0.980776786804199,0.053166817873716,-0.048609126359224,0.000476562534459,0.001053982647136,0.001530545181595,0.017068941146135,0.233125001192093,93.5178375244141,9.71445846557617,3.0927734375
16,1653946050.86876,25600,95.1936569213867,0.008124999701977,-0.49524250626564,0.018461670726538,-0.048604190349579,0.000203124989639,0.000952185306232,0.001155310310423,0.016963019967079,0.215625002980232,85.9920883178711,9.72695255279541,4.5
17,1653946053.48089,27200,90.6865921020508,0.005182927008718,-0.14515532553196,0.007876226678491,-0.048602815717459,0.000132812507218,0.001118229352869,0.001251042005606,0.020745053887367,0.241874992847443,81.1456451416016,9.72683048248291,5.40234375
18,1653946056.3425,28800,84.8869476318359,0,-0.239907160401344,0.002515438245609,-0.048602439463139,0,0.000997161143459,0.000997161143459,0.017793755978346,0.224999994039536,75.4561309814453,9.71681499481201,3
19,1653946058.6368,30400,81.6261138916016,0.026375001296401,1.13120818138123,0.068659380078316,-0.048598926514387,0.000659375044052,0.000965247163549,0.001624622032978,0.015621356666088,0.231250002980232,70.7690887451172,9.70575523376465,2.6162109375
20,1653946061.2487,32000,75.8032913208008,0.037678569555283,0.158922985196114,0.078079201281071,-0.048595502972603,0.000989062478766,0.001044242060743,0.002033304655924,0.019359497353435,0.236874997615814,65.8939971923828,9.7208890914917,4.65234375
21,1653946063.84906,33600,72.6883850097656,0.022682927548885,0.305101722478867,0.035452663898468,-0.048573009669781,0.00058125006035,0.001062606927007,0.001643856754527,0.017368506640196,0.237499997019768,62.6701507568359,9.72625160217285,3.74609375
22,1653946067.3276,35200,67.205924987793,0.021890243515372,-0.417803525924683,0.047205951064825,-0.04857374355197,0.000560937507544,0.000876553589478,0.001437491038814,0.016522465273738,0.220624998211861,57.9082107543945,9.71688461303711,4.0146484375
23,1653946070.57247,36800,62.4947509765625,0,-0.569225013256073,0.003025172045454,-0.048562675714493,0,0.001018620561808,0.001018620561808,0.016694268211722,0.241874992847443,53.3808822631836,9.72862815856934,1.96484375
24,1653946073.51187,38400,61.3678092956543,0.039390243589878,1.68008553981781,0.097258575260639,-0.04856176301837,0.001009374973364,0.000885470362846,0.001894845161587,0.01555544603616,0.213750004768372,49.9281616210938,9.71086406707764,3.4912109375
25,1653946076.43463,40000,59.3158988952637,0.050914630293846,0.764795005321503,0.128737837076187,-0.048546802252531,0.001304687582888,0.000958185177296,0.002262872643769,0.01508018001914,0.227500006556511,48.7622985839844,9.70861530303955,3.8115234375
26,1653946080.12688,41600,52.3133163452148,0,-1.9047167301178,0.012594609521329,-0.048520606011152,0,0.000896386452951,0.000896386452951,0.016219614073634,0.21875,44.5402145385742,9.71374702453613,4.6083984375
27,1653946082.97025,43200,50.7578544616699,0.004634146112949,-0.022846918553114,0.00655360892415,-0.048501372337341,0.000118750002002,0.000976405688562,0.001095155603252,0.016666797921062,0.236874997615814,41.1074066162109,9.71524333953857,3.171875
