# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1654509379.42795,0,732.579956054687,0,8.17284107208252,0.062656179070473,-0.097263179719448,0,0.002188746351749,0.002188746351749,0.031388085335493,0.529446721076965,704.98291015625,19.4588241577148,2.8271484375
1,1654509384.26485,3200,600.231811523438,0,-32.6678085327148,1.78412067890167,-0.097231552004814,0,0.00242075510323,0.00242075510323,0.034182239323855,0.55615770816803,611.75390625,19.458776473999,3.6162109375
2,1654509388.76863,6400,573.246276855469,0,3.1977014541626,0.05877710878849,-0.097276449203491,0,0.001893170294352,0.001893170294352,0.028719365596771,0.493612378835678,550.636291503906,19.4508075714111,4.0625
3,1654509393.69332,9600,525.947509765625,0,3.57325863838196,0.049591232091189,-0.097273260354996,0,0.00207418599166,0.00207418599166,0.02968854829669,0.526746928691864,502.972381591797,19.4495525360107,3.05859375
4,1654509398.70352,12800,485.845733642578,0,3.44905281066895,0.079830028116703,-0.097266376018524,0,0.002523334696889,0.002523334696889,0.03556476905942,0.574258089065552,462.959747314453,19.4543895721436,2.2333984375
5,1654509404.61728,16000,444.476959228516,0,-1.89860618114471,0.099756971001625,-0.097253099083901,0,0.002205610042438,0.002205610042438,0.033701524138451,0.517499983310699,426.920715332031,19.4523296356201,6.6240234375
6,1654509411.13136,19200,416.893615722656,0,1.59233856201172,0.08622033149004,-0.097253650426865,0,0.002368158195168,0.002368158195168,0.034189157187939,0.562957942485809,395.866088867187,19.4462375640869,2.68359375
7,1654509416.29981,22400,385.76806640625,0,-2.30359888076782,0.065231956541538,-0.097218342125416,0,0.001917173969559,0.001917173969559,0.029258089140058,0.510526776313782,368.653015136719,19.4506282806396,3.6396484375
8,1654509421.79617,25600,365.844909667969,0,2.78890204429626,0.054467298090458,-0.097193382680416,0,0.002045379253104,0.002045379253104,0.028870843350887,0.543398797512054,343.652587890625,19.4461460113525,2.5927734375
9,1654509426.37103,28800,336.034484863281,0,-1.80140280723572,0.084846951067448,-0.097187429666519,0,0.0021564187482,0.0021564187482,0.034248843789101,0.524073541164398,318.405578613281,19.4426727294922,3.24609375
10,1654509431.35391,32000,319.225891113281,0,1.25562870502472,0.051881685853005,-0.097154155373573,0,0.002136185066774,0.002136185066774,0.030468497425318,0.554432988166809,298.566619873047,19.4489040374756,2.46484375
11,1654509436.28865,35200,296.832763671875,0,-0.448020726442337,0.073226362466812,-0.09714636951685,0,0.002247166354209,0.002247166354209,0.03354125469923,0.551860809326172,277.873168945312,19.431547164917,4.1552734375
12,1654509441.51682,38400,280.646820068359,0,0.978067636489868,0.064992845058441,-0.097115129232407,0,0.002222937531769,0.002222937531769,0.032034311443567,0.556548357009888,260.278564453125,19.4222984313965,3.546875
13,1654509446.36108,41600,264.41259765625,0,-0.490234911441803,0.063378103077412,-0.097085013985634,0,0.002149754669517,0.002149754669517,0.030911087989807,0.56324964761734,245.503555297852,19.432991027832,2.62109375
14,1654509451.02381,44800,249.661041259766,0,-0.076070927083492,0.065951973199844,-0.09708646684885,0,0.002150648273528,0.002150648273528,0.030790710821748,0.56561952829361,230.346343994141,19.4218978881836,2.8271484375
15,1654509455.70185,48000,237.45964050293,0,0.99642014503479,0.043012920767069,-0.097085781395435,0,0.001989790471271,0.001989790471271,0.029613194987178,0.539153397083283,217.082382202148,19.4349117279053,3.7412109375
16,1654509460.61304,51200,220.81657409668,0,-3.02408051490784,0.07527057826519,-0.097075283527374,0,0.001842717058025,0.001842717058025,0.027988720685244,0.525505244731903,204.42903137207,19.4334278106689,3.15234375
17,1654509465.53414,54400,212.93537902832,0,3.01279211044312,0.043084025382996,-0.096986725926399,0,0.002120803343132,0.002120803343132,0.030536718666554,0.562266290187836,190.5654296875,19.411060333252,4.7412109375
18,1654509470.54833,57600,199.026519775391,0,0.179896295070648,0.066906444728375,-0.096934497356415,0,0.002112039364874,0.002112039364874,0.030680812895298,0.560531616210938,179.464263916016,19.4123878479004,2.6787109375
19,1654509475.07171,60800,188.5,0,0.723879456520081,0.054496966302395,-0.096902266144753,0,0.002061202889308,0.002061202889308,0.028411168605089,0.573608994483948,168.408889770508,19.4096298217773,3.33984375
20,1654509479.9429,64000,177.19889831543,0.034090910106897,0.051202468574047,0.070809878408909,-0.096833974123001,0.000117187497381,0.002078023739159,0.002195211360231,0.029375307261944,0.571735203266144,157.78125,19.3924655914307,2.171875
21,1654509484.77377,67200,167.822738647461,0,-0.811296880245209,0.061218209564686,-0.096781976521015,0,0.001939887646586,0.001939887646586,0.028687916696072,0.54702353477478,149.272674560547,19.3969211578369,3.4208984375
