# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,rnd_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards
0,1654447683.28344,0,79.1209335327148,0,71.5633239746094,6.83092498779297,-0.194479137659073,0.921168148517608,0,0.023288857191801,0.023288857191801
1,1654447726.19343,3200,-9.33310222625732,0.065000005066395,-29.862979888916,19.8528671264648,-0.187187001109123,0.864197552204132,0.00024375000794,0.019940817728639,0.020184569060803
2,1654447770.16593,6400,10.4712181091309,0.039090909063816,9.00270652770996,0.81974732875824,-0.180629715323448,0.82939475774765,0.000134375004563,0.01874116808176,0.018875544890761
3,1654447823.45508,9600,-9.73314476013184,0,-12.6457271575928,2.29143476486206,-0.185571581125259,0.806719303131104,0,0.017146298661828,0.017146298661828
4,1654447871.69358,12800,5.5176420211792,0.019999999552965,4.68957996368408,0.222605183720589,-0.183501228690147,0.788958132266998,8.12500002211891E-05,0.019072219729424,0.019153470173478
5,1654447917.66297,16000,2.37789082527161,0.018181817606092,1.35341584682465,0.439956814050674,-0.186733439564705,0.771251678466797,6.25000029685907E-05,0.015175775624812,0.015238273888826
6,1654447958.64188,19200,11.5465116500855,0,9.97713279724121,0.992385029792785,-0.184423193335533,0.76141744852066,0,0.022430131211877,0.022430131211877
7,1654447986.37972,22400,-0.972051501274109,0,-3.89070892333984,2.360755443573,-0.183460876345634,0.741362810134888,0,0.019808553159237,0.019808553159237
8,1654448014.46144,25600,2.57757663726807,0,1.19809508323669,0.817665278911591,-0.169986590743065,0.731802880764008,0,0.020268255844712,0.020268255844712
9,1654448042.70062,28800,3.39977240562439,0,2.43911552429199,0.385831624269485,-0.150394722819328,0.725219964981079,0,0.023221366107464,0.023221366107464
10,1654448071.19822,32000,1.87991511821747,0.04333333298564,0.780243158340454,0.521207988262177,-0.129714503884316,0.708178400993347,0.000189583341125,0.022745180875063,0.022934762760997
11,1654448099.25413,35200,0.698886096477508,0,-0.463962525129318,0.551125347614288,-0.084506832063198,0.696230113506317,0,0.017850851640105,0.017850851640105
12,1654448131.28809,38400,1.14151227474213,0.022820511832833,-0.158243149518967,0.680795788764954,-0.065953701734543,0.684913337230682,9.27083310671151E-05,0.01834973320365,0.018442442640662
13,1654448160.71455,41600,-1.44127082824707,0,-3.93146061897278,1.8962459564209,-0.085471175611019,0.679414987564087,0,0.013028571382165,0.013028571382165
14,1654448193.94106,44800,4.31802129745483,0,3.45666790008545,0.305746883153915,-0.107237167656422,0.662843883037567,0,0.010637727566063,0.010637727566063
15,1654448230.65442,48000,1.27380704879761,0,0.562950491905212,0.187850967049599,-0.135213077068329,0.658218681812286,0,0.010220000520349,0.010220000520349
16,1654448264.65753,51200,0.819467902183533,0,0.151616781949997,0.177437096834183,-0.152059406042099,0.642473459243774,0,0.010929640382528,0.010929640382528
17,1654448299.02897,54400,4.39544630050659,0.026111111044884,3.47394299507141,0.433506309986115,-0.149097830057144,0.637094855308533,9.79166652541608E-05,0.014878306537867,0.014976222068071
18,1654448332.69031,57600,-1.14635872840881,0.064358972012997,-2.53561329841614,0.918233931064606,-0.157410755753517,0.628431439399719,0.000261458335444,0.013918895274401,0.014180354773998
19,1654448362.7221,60800,5.00922203063965,0,3.9793860912323,0.564684569835663,-0.157622411847115,0.62277364730835,0,0.017785189673305,0.017785189673305
20,1654448394.64994,64000,8.37472438812256,0.061666667461395,6.65007829666138,1.26037657260895,-0.153976991772652,0.618246674537659,0.00023125000007,0.022399518638849,0.022630769759417
21,1654448423.77321,67200,-0.030827045440674,0,-2.27925515174866,1.78430330753326,-0.13951487839222,0.603639662265778,0,0.022114640101791,0.022114640101791
22,1654448452.62251,70400,2.44786405563354,0.040833331644535,1.58725154399872,0.362241744995117,-0.098841510713101,0.597212433815002,0.000153124987264,0.023060724139214,0.023213848471642
23,1654448481.64869,73600,2.61393690109253,0.058461539447308,1.63759911060333,0.48040896654129,-0.093713007867336,0.589641809463501,0.000237500004005,0.028803549706936,0.029041051864624
24,1654448510.53726,76800,-0.984260380268097,0.050555557012558,-4.13146495819092,2.64654922485352,-0.07886403799057,0.57951945066452,0.000189583341125,0.023749588057399,0.023939169943333
25,1654448539.8079,80000,5.18574333190918,0,3.58867001533508,1.12817859649658,-0.098090052604675,0.566985368728638,0,0.018712989985943,0.018712989985943
26,1654448568.68836,83200,-0.561172127723694,0.023888887837529,-1.46113646030426,0.470498502254486,-0.131692767143249,0.561158537864685,8.95833290996961E-05,0.01250599231571,0.012595576234162
27,1654448597.72335,86400,0.091087877750397,0,-0.479907780885696,0.151981383562088,-0.135860741138458,0.554875016212463,0,0.011355945840478,0.011355945840478
28,1654448627.46452,89600,1.7987607717514,0,1.11557161808014,0.272285223007202,-0.131842568516731,0.542746543884277,0,0.018792869523168,0.018792869523168
29,1654448658.43278,92800,3.08499717712402,0,0.945462882518768,1.73448383808136,-0.133970528841019,0.539021134376526,0,0.022236634045839,0.022236634045839
30,1654448695.67098,96000,2.79490184783936,0.02166666649282,1.89311408996582,0.499013811349869,-0.131835654377937,0.53460955619812,8.12500002211891E-05,0.021183615550399,0.021264862269163
31,1654448727.93526,99200,0.846172451972961,0.048717949539423,0.169087409973145,0.252350598573685,-0.10073347389698,0.525467932224274,0.000197916670004,0.018754221498966,0.018952136859298
32,1654448761.30483,102400,1.54297828674316,0.065000005066395,0.782940626144409,0.323339939117432,-0.077166467905045,0.513864099979401,0.00024375000794,0.022374900057912,0.022618649527431
