# _tick,_time,frames,total_loss,frames,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1653946863.62505,0,353.728851318359,0,0,1.17247807979584,0.005489511881024,-0.048641849309206,0,0.000851246586535,0.000851246586535,0.020897764712572,0.131249994039536,342.866180419922,9.73333644866943,3.6708984375
1,1653946866.57853,1600,295.782257080078,1600,0,-6.25070571899414,0.157953664660454,-0.048631522804499,0,0.000944053463172,0.000944053463172,0.025836052373052,0.144374996423721,292.196807861328,9.72683715820313,1.7412109375
2,1653946870.0965,3200,273.341949462891,3200,0,0.866499364376068,0.006589161232114,-0.048637125641108,0,0.00091367267305,0.00091367267305,0.020445391535759,0.143124997615814,262.795471191406,9.72201061248779,0.9052734375
3,1653946873.16568,4800,250.142044067383,4800,0,0.932231962680817,0.005358465015888,-0.048635773360729,0,0.001097514294088,0.001097514294088,0.023737516254187,0.166875004768372,239.5263671875,9.72672176361084,4.359375
4,1653946875.68909,6400,228.754592895508,6400,0,-0.045869503170252,0.007868067361414,-0.048633739352226,0,0.000829380820505,0.000829380820505,0.022385342046619,0.122500002384186,219.113372802734,9.72786235809326,3.87109375
5,1653946878.27071,8000,210.362380981445,8000,0,0.068263404071331,0.006424612831324,-0.048633970320225,0,0.000903029344045,0.000903029344045,0.02086472325027,0.137500002980232,200.612701416016,9.72362995147705,1.8662109375
6,1653946880.76728,9600,194.659805297852,9600,0,-0.392571598291397,0.006181143224239,-0.048631746321917,0,0.000765901640989,0.000765901640989,0.019706754013896,0.126249998807907,185.37727355957,9.71755599975586,5.484375
7,1653946883.91877,11200,180.282943725586,11200,0,0.087441638112068,0.005310830194503,-0.048631228506565,0,0.000840016757138,0.000840016757138,0.021780824288726,0.136250004172325,170.506561279297,9.73226070404053,4.234375
8,1653946886.69631,12800,168.254592895508,12800,0,0.271547257900238,0.005070599261671,-0.048631574958563,0,0.000871666939929,0.000871666939929,0.023095835000277,0.141874998807907,158.300186157227,9.72643184661865,3.9677734375
9,1653946889.28414,14400,155.882263183594,14400,0,0.100284993648529,0.00753484107554,-0.048630692064762,0,0.00096859986661,0.00096859986661,0.024135170504451,0.150625005364418,146.093521118164,9.7295503616333,2.80859375
10,1653946892.35311,16000,145.939346313477,16000,0,-0.381581336259842,0.005126290954649,-0.048627112060785,0,0.00075366901001,0.00075366901001,0.020004615187645,0.128124997019768,136.641204833984,9.72321796417236,3.2255859375
11,1653946895.97305,17600,137.738952636719,17600,0,0.074762657284737,0.004687753040344,-0.048630569130182,0,0.000804412295111,0.000804412295111,0.020947499200702,0.134375005960464,127.990119934082,9.7180233001709,5.02734375
12,1653946899.10644,19200,130.665802001953,19200,0,0.928358972072601,0.007620555348694,-0.048630271106958,0,0.001006312901154,0.001006312901154,0.021984400227666,0.151875004172325,120.067092895508,9.71135139465332,4.74609375
13,1653946902.76622,20800,120.807891845703,20800,0,-0.891613304615021,0.008183811791241,-0.048628225922585,0,0.000747517566197,0.000747517566197,0.019938023760915,0.126874998211861,112.019485473633,9.72046852111816,3.4833984375
14,1653946905.8733,22400,115.170585632324,22400,0,0.181665644049645,0.005091540515423,-0.048626959323883,0,0.000810166471638,0.000810166471638,0.022001035511494,0.137500002980232,105.3076171875,9.72483921051025,2.83984375
15,1653946909.00948,24000,108.244003295898,24000,0,0.097081817686558,0.004202519543469,-0.048626318573952,0,0.000758245645557,0.000758245645557,0.018463553860784,0.137500002980232,98.4780502319336,9.71329593658447,3.2021484375
16,1653946912.61415,25600,101.820755004883,25600,0,0.039019472897053,0.004469747189432,-0.048626553267241,0,0.000683368940372,0.000683368940372,0.02114449813962,0.124375000596046,92.108268737793,9.71761703491211,4.27734375
17,1653946915.56344,27200,96.8379058837891,27200,0,0.0403216406703,0.004924302455038,-0.048626832664013,0,0.000842956011184,0.000842956011184,0.018532695248723,0.143749997019768,87.1120376586914,9.72924709320068,3.7646484375
18,1653946918.94058,28800,90.930061340332,28800,0,-0.15871749818325,0.003566982923076,-0.04862729460001,0,0.000683736230712,0.000683736230712,0.018257543444634,0.123750001192093,81.4194946289063,9.71435070037842,1.6875
19,1653946922.09888,30400,87.4965744018555,30400,0,0.322289854288101,0.005316135473549,-0.048623915761709,0,0.000818658038042,0.000818658038042,0.01908902078867,0.140000000596046,77.510009765625,9.7075834274292,2.921875
20,1653946925.28473,32000,81.3125839233399,32000,0,-0.023211071267724,0.005181175656617,-0.048621948808432,0,0.000747590733226,0.000747590733226,0.020874559879303,0.134375005960464,71.6625213623047,9.71671104431152,3.8349609375
21,1653946928.20168,33600,77.3719024658203,33600,0,0.210229352116585,0.004311116877943,-0.048625055700541,0,0.000796186970547,0.000796186970547,0.017819294705987,0.141249999403954,67.4737854003906,9.73219966888428,5.0302734375
22,1653946931.40692,35200,73.4216384887695,35200,0,-0.094252556562424,0.005542930215597,-0.048623502254486,0,0.000814613711555,0.000814613711555,0.020034160465002,0.144999995827675,63.8361511230469,9.72281932830811,3.33984375
23,1653946934.58161,36800,69.8292846679688,36800,0,0.052496805787087,0.004425959661603,-0.048625640571117,0,0.000741777184885,0.000741777184885,0.017876470461488,0.136875003576279,60.1102905273438,9.710693359375,3.8125
24,1653946937.52668,38400,65.5782852172852,38400,0,0.376889377832413,0.006110962014645,-0.048625696450472,0,0.000843610614538,0.000843610614538,0.018107905983925,0.155000001192093,55.5381202697754,9.70579147338867,2.83984375
